Pr Age0-19 Age20-44 Age45-64 Age65+ ObesityBMI<30 ObesityBMI30-40 ObesityBMI>40 SmokingYes ComorbidityYes
0.025 1 0 0 0 0 0 0 0 0
0.1033 0 1 0 0 1 0 0 0 0
0.150113960202094 0 0 1 0 1 0 0 0 0
0.213101435345343 0 0 0 1 1 0 0 0 0
0.176255405161969 0 1 0 0 0 1 0 0 0
0.247023608284155 0 0 1 0 0 1 0 0 0
0.334662134618557 0 0 0 1 0 1 0 0 0
0.284394058342601 0 1 0 0 0 0 1 0 0
0.378624082153356 0 0 1 0 0 0 1 0 0
0.483002566278902 0 0 0 1 0 0 1 0 0
0.174374176039505 0 1 0 0 1 0 0 1 0
0.244611343924014 0 0 1 0 1 0 0 1 0
0.331771136639789 0 0 0 1 1 0 0 1 0
0.281753413036364 0 1 0 0 0 1 0 1 0
0.375567686429918 0 0 1 0 0 1 0 1 0
0.479754132197686 0 0 0 1 0 1 0 1 0
0.421498940835381 0 1 0 0 0 0 1 1 0
0.527660066775348 0 0 1 0 0 0 1 1 0
0.631377252554024 0 0 0 1 0 0 1 1 0
0.161450052578015 0 1 0 0 1 0 0 0 1
0.227918523538909 0 0 1 0 1 0 0 0 1
0.311583768841485 0 0 0 1 1 0 0 0 1
0.263409789804106 0 1 0 0 0 1 0 0 1
0.354127681347646 0 0 1 0 0 1 0 0 1
0.45671664443647 0 0 0 1 0 1 0 0 1
0.399112789163588 0 1 0 0 0 0 1 0 1
0.50455318945243 0 0 1 0 0 0 1 0 1
0.609590138673484 0 0 0 1 0 0 1 0 1
0.260892951956744 0 1 0 0 1 0 0 1 1
0.351157278904054 0 0 1 0 1 0 0 1 1
0.453489926589149 0 0 0 1 1 0 0 1 1
0.395996403846213 0 1 0 0 0 1 0 1 1
0.501300354740665 0 0 1 0 0 1 0 1 1
0.606489074827364 0 0 0 1 0 1 0 1 1
0.549087015360292 0 1 0 0 0 0 1 1 1
0.651209284125529 0 0 1 0 0 0 1 1 1
0.741108013877742 0 0 0 1 0 0 1 1 1
